File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
./data/output_files/out/UN_105_em_113.lg, Incorrect,9,2,7,7,0,0.231320858726,7,42,5,7,0,0,0,0,6,5,0,5,4,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_114.lg, Incorrect,49,6,43,39,4,0.169067923821,29,812,22,40,2,0,2,1,23,19,0,18,18,5,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_115.lg, Incorrect,45,11,34,30,4,0.210720266864,30,870,27,32,2,0,0,0,28,25,0,22,18,10,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_116.lg, Incorrect,23,9,14,12,2,0.341678574881,14,182,13,13,1,0,0,0,14,9,0,8,5,9,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_117.lg, Incorrect,11,4,7,7,0,0.463869326103,5,20,3,6,0,0,2,1,4,3,0,3,1,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_118.lg, Incorrect,30,6,24,20,4,0.217970060061,20,380,18,22,2,0,0,0,18,13,0,11,11,7,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_119.lg, Incorrect,10,2,8,6,2,0.369310000858,6,30,3,7,1,0,0,0,4,4,0,3,3,1,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_120.lg, Incorrect,8,2,6,4,2,0.53845169055,4,12,2,5,1,0,0,0,3,3,0,2,2,1,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_121.lg, Incorrect,4,0,4,4,0,0.19245008973,4,12,2,4,0,4,0,0,3,3,0,3,3,0,0,0,0,1,1,0,0,0
./data/output_files/out/UN_105_em_122.lg, Incorrect,2,0,2,2,0,0.19245008973,3,6,1,2,0,3,0,0,2,2,0,2,2,0,0,0,0,1,1,0,0,0
./data/output_files/out/UN_105_em_123.lg, Incorrect,7,2,5,5,0,0.247193874599,6,30,5,5,0,0,0,0,6,5,0,5,4,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_105_em_124.lg, Incorrect,19,5,14,14,0,0.211497651752,14,182,12,14,0,0,0,0,13,11,0,11,8,5,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_125.lg, Incorrect,5,1,4,4,0,0.275783423063,4,12,2,4,0,3,0,0,3,3,0,3,2,1,0,0,0,1,0,0,0,0
./data/output_files/out/UN_106_em_126.lg, Incorrect,41,7,34,20,14,0.434961221381,13,156,7,26,7,0,2,1,8,9,0,5,5,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_127.lg, Incorrect,57,11,46,40,6,0.251946663125,27,702,18,41,3,0,4,2,19,19,0,15,13,6,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_128.lg, Incorrect,8,2,6,6,0,0.260182309611,6,30,3,6,0,0,0,0,4,3,0,3,2,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_129.lg, Incorrect,17,4,13,11,2,0.280750720535,11,110,8,12,1,0,0,0,9,8,0,6,6,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_130.lg, Incorrect,24,6,18,18,0,0.203396351395,17,272,14,18,0,0,0,0,15,10,0,10,9,6,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_131.lg, Incorrect,14,4,10,6,4,0.651440125562,5,20,2,8,2,0,0,0,3,4,0,1,1,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_132.lg, Incorrect,67,17,50,42,8,0.237126140431,38,1406,32,45,4,0,2,1,32,25,0,22,17,15,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_133.lg, Incorrect,94,21,73,53,20,0.258838032598,44,1892,35,62,10,0,2,1,36,30,0,24,20,16,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_134.lg, Incorrect,22,5,17,11,6,0.677773193847,6,30,2,13,3,0,2,1,3,4,0,1,1,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_135.lg, Incorrect,42,4,38,36,2,0.118142754287,33,1056,26,37,1,0,0,0,27,25,0,24,23,4,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_136.lg, Incorrect,22,4,18,18,0,0.186478896184,15,210,9,18,0,11,0,0,10,10,0,10,6,4,0,0,0,1,0,0,0,0
./data/output_files/out/UN_106_em_137.lg, Incorrect,23,8,15,15,0,0.402749430155,10,90,7,13,0,0,4,2,8,5,0,5,2,6,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_138.lg, Incorrect,47,9,38,34,4,0.387799363855,15,210,8,32,2,6,8,4,9,8,0,7,4,5,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_139.lg, Incorrect,40,6,34,22,12,0.526594889608,10,90,3,27,6,0,2,1,4,6,0,2,2,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_140.lg, Incorrect,19,3,16,16,0,0.158675407912,15,210,12,16,0,0,0,0,13,10,0,10,10,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_141.lg, Incorrect,19,2,17,17,0,0.139284884103,15,210,11,17,0,0,0,0,12,11,0,11,10,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_142.lg, Incorrect,57,14,43,33,10,0.346929913741,23,506,14,38,5,0,0,0,15,17,0,9,6,9,0,0,0,0,0,0,0,0
./data/output_files/out/UN_106_em_143.lg, Incorrect,31,8,23,21,2,0.239522863723,20,380,17,22,1,0,0,0,18,15,0,14,11,7,0,0,0,0,0,0,0,0
